,total_matches,total_wins,total_draws,total_losses,win_rate,draw_rate,loss_rate,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,goal_diff_per_match,xg_for,xg_against,avg_xg_for,avg_xg_against,xg_diff_per_match,xg_overperf,yellow_cards,avg_yellow_cards,clean_sheets,clean_sheet_rate
bolivia,3,0,0,3,0.0,0.0,1.0,1,10,0.3333333333333333,3.3333333333333335,-3.0,0.96,6.67,0.32,2.223333333333333,-1.903333333333333,0.013333333333333345,6,2.0,0,0.0
colombia,5,4,1,0,0.8,0.2,0.0,12,2,2.4,0.4,2.0,8.489999999999998,2.5300000000000002,1.6979999999999997,0.506,1.1919999999999997,0.7020000000000003,9,1.8,3,0.6
paraguay,3,0,0,3,0.0,0.0,1.0,3,8,1.0,2.6666666666666665,-1.6666666666666665,2.88,4.85,0.96,1.6166666666666665,-0.6566666666666665,0.040000000000000036,7,2.3333333333333335,0,0.0
peru,2,0,0,2,0.0,0.0,1.0,0,3,0.0,1.5,-1.5,0.9500000000000001,4.07,0.47500000000000003,2.035,-1.56,-0.47500000000000003,5,2.5,0,0.0
chile,2,0,1,1,0.0,0.5,0.5,0,1,0.0,0.5,-0.5,0.66,3.8000000000000003,0.33,1.9000000000000001,-1.57,-0.33,2,1.0,1,0.5
scotland,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,2,7,0.6666666666666666,2.3333333333333335,-1.666666666666667,0.9500000000000001,4.5,0.3166666666666667,1.5,-1.1833333333333333,0.3499999999999999,5,1.6666666666666667,0,0.0
hungary,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,2,5,0.6666666666666666,1.6666666666666667,-1.0,3.65,3.9,1.2166666666666666,1.3,-0.08333333333333348,-0.5499999999999999,9,3.0,1,0.3333333333333333
italy,4,1,1,2,0.25,0.25,0.5,3,5,0.75,1.25,-0.5,3.35,5.26,0.8375,1.315,-0.4774999999999999,-0.08750000000000002,9,2.25,0,0.0
albania,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,3,5,1.0,1.6666666666666667,-0.6666666666666667,2.44,5.75,0.8133333333333334,1.9166666666666667,-1.1033333333333335,0.18666666666666668,7,2.3333333333333335,0,0.0
slovenia,3,0,3,0,0.0,1.0,0.0,1,1,0.3333333333333333,0.3333333333333333,0.0,1.85,4.43,0.6166666666666667,1.4766666666666666,-0.8599999999999999,-0.2833333333333334,9,3.0,2,0.6666666666666666
slovakia,2,1,0,1,0.5,0.0,0.5,2,2,1.0,1.0,0.0,2.7199999999999998,3.2199999999999998,1.3599999999999999,1.6099999999999999,-0.25,-0.3599999999999999,7,3.5,1,0.5
austria,4,2,0,2,0.5,0.0,0.5,7,6,1.75,1.5,0.25,6.98,6.46,1.745,1.615,0.13000000000000012,0.004999999999999893,12,3.0,0,0.0
turkey,5,3,0,2,0.6,0.0,0.4,8,8,1.6,1.6,0.0,7.42,9.08,1.484,1.816,-0.3320000000000001,0.11600000000000002,19,3.8,0,0.0
georgia,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666,4,7,1.3333333333333333,2.3333333333333335,-1.0000000000000002,3.27,8.41,1.09,2.8033333333333332,-1.7133333333333332,0.24333333333333332,3,1.0,1,0.3333333333333333
czechia,2,0,0,2,0.0,0.0,1.0,2,4,1.0,2.0,-1.0,2.0500000000000003,3.31,1.0250000000000001,1.655,-0.6299999999999999,-0.025000000000000133,6,3.0,0,0.0
romania,2,0,0,2,0.0,0.0,1.0,0,5,0.0,2.5,-2.5,1.22,4.69,0.61,2.345,-1.7350000000000003,-0.61,4,2.0,0,0.0
ukraine,1,0,1,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.82,0.88,0.82,0.88,-0.06000000000000005,-0.82,1,1.0,1,1.0
